time,last_check,Astro Orbiter,The Barnstormer,Big Thunder Mountain Railroad,Buzz Lightyear’s Space Ranger Spin,Country Bear Jamboree,Dumbo the Flying Elephant,Enchanted Tales with Belle,Frontierland Shootin’ Arcade,The Hall of Presidents,Haunted Mansion,“it’s a small world”,Jungle Cruise,Liberty Square Riverboat,Mad Tea Party,The Magic Carpets of Aladdin,The Many Adventures of Winnie the Pooh,Mickey’s PhilharMagic,Monsters Inc. Laugh Floor,Peter Pan’s Flight,Pirates of the Caribbean,Prince Charming Regal Carrousel,Seven Dwarfs Mine Train,Space Mountain,Splash Mountain,Swiss Family Treehouse,Tom Sawyer Island,Tomorrowland Speedway,Tomorrowland Transit Authority PeopleMover,TRON Lightcycle / Run,Under the Sea – Journey of The Little Mermaid,Walt Disney’s Carousel of Progress,Walt Disney’s Enchanted Tiki Room
2023-06-23 09:07:51.858012,10:03am on Friday,15,5,40,35,-,5,-,-,-,35,5,25,-,5,5,25,10,-,45,20,5,50,35,-,-,-,15,5,-,5,5,-
2023-06-23 09:12:24.651756,10:11am on Friday,15,5,50,35,-,5,10,-,-,35,5,40,-,5,20,30,10,-,45,25,5,50,35,-,-,-,15,5,-,5,5,-
2023-06-23 09:21:39.612637,10:20am on Friday,15,5,50,30,-,5,15,-,-,45,5,55,-,5,20,30,10,-,60,30,5,50,35,-,-,-,20,5,-,5,5,-
2023-06-23 09:30:42.359776,10:27am on Friday,15,5,40,30,-,5,15,-,-,45,5,55,-,5,20,30,10,-,60,30,5,90,35,-,-,-,25,5,-,5,5,-
2023-06-23 09:36:44.171223,10:35am on Friday,15,5,35,30,-,5,30,-,-,30,5,55,-,10,20,30,10,-,60,30,5,90,35,-,-,-,20,5,-,5,5,-
2023-06-23 09:45:46.734143,10:44am on Friday,15,10,35,35,-,5,45,-,-,30,25,55,-,10,20,25,10,-,60,55,5,90,50,-,-,-,5,5,-,5,5,-
2023-06-23 09:54:49.315841,10:52am on Friday,35,10,35,35,-,5,45,-,-,30,25,55,-,10,20,25,10,-,60,55,5,110,50,-,-,-,10,10,-,5,5,-
2023-06-23 10:00:51.166151,11:00am on Friday,35,10,45,50,-,10,15,-,-,45,40,55,-,10,20,25,10,-,60,30,5,110,65,-,-,-,10,10,-,5,5,-
2023-06-23 10:09:53.839487,11:08am on Friday,50,20,45,50,-,10,15,-,-,45,25,55,-,10,20,30,15,-,60,45,15,110,75,-,-,-,10,5,-,5,5,-
2023-06-23 10:15:55.935362,11:15am on Friday,50,20,45,50,-,10,25,-,-,45,25,55,-,15,20,30,15,-,60,45,15,110,75,-,-,-,20,5,-,5,5,-
2023-06-23 10:27:59.962620,11:24am on Friday,45,20,40,65,-,30,45,-,-,60,25,45,-,15,20,35,15,-,60,45,15,110,60,-,-,-,25,15,-,30,5,-
2023-06-23 10:34:02.003837,11:31am on Friday,45,20,40,65,-,45,45,-,-,60,25,45,-,15,30,45,15,-,60,45,15,80,50,-,-,-,25,15,-,30,5,-
2023-06-23 10:40:03.412479,11:39am on Friday,40,20,40,65,-,45,45,-,-,60,25,50,-,15,30,35,15,10,60,45,15,70,55,-,-,-,25,15,-,30,5,-
2023-06-23 10:49:06.235340,11:48am on Friday,40,10,40,65,-,25,45,-,-,60,25,50,-,15,30,35,15,10,60,45,15,70,65,-,-,-,30,15,-,30,5,-
2023-06-23 11:04:10.717699,12:03pm on Friday,45,20,35,65,-,15,45,-,-,45,15,50,-,15,30,40,15,10,75,45,15,75,60,-,-,-,25,15,-,30,5,-
2023-06-23 11:13:13.128328,12:12pm on Friday,25,20,35,65,-,15,45,-,-,45,15,50,-,15,30,40,15,10,75,35,15,75,50,-,-,-,20,5,-,30,5,-
2023-06-23 11:22:15.735383,12:20pm on Friday,25,20,35,65,-,30,25,-,-,30,15,40,-,15,20,25,15,10,75,35,15,75,45,-,-,-,20,10,-,30,5,-
2023-06-23 11:28:17.723538,12:27pm on Friday,25,20,35,40,-,30,25,-,-,30,20,40,-,15,20,25,15,10,70,35,15,75,45,-,-,-,10,10,-,30,5,-
2023-06-23 11:37:20.502180,12:35pm on Friday,25,20,40,30,-,20,25,-,-,30,25,40,-,10,20,30,15,10,70,35,15,95,55,-,-,-,10,10,-,30,5,-
2023-06-23 11:46:22.657086,12:43pm on Friday,25,20,45,30,-,20,25,-,-,45,40,40,-,10,20,30,15,10,75,35,15,95,65,-,-,-,10,10,-,30,5,-
2023-06-23 11:52:24.467152,12:51pm on Friday,40,20,50,30,-,20,25,-,-,45,40,50,-,10,20,30,15,10,75,40,15,95,65,-,-,-,15,10,-,30,5,-
2023-06-23 12:01:26.721238,1:00pm on Friday,45,20,50,30,-,20,25,-,-,55,40,60,-,15,20,35,15,10,75,55,15,75,65,-,-,-,15,10,-,30,5,-
2023-06-23 12:10:28.897185,1:07pm on Friday,45,15,40,30,-,20,25,-,-,55,40,60,-,15,20,35,15,10,75,55,15,75,65,-,-,-,10,10,-,15,5,-
2023-06-23 12:16:30.416726,1:15pm on Friday,45,15,40,45,-,20,20,-,-,55,40,60,-,15,20,35,15,15,75,55,15,75,65,-,-,-,15,25,-,15,5,-
2023-06-23 12:25:32.676446,1:23pm on Friday,45,15,40,45,-,45,35,-,-,55,30,60,-,15,20,45,15,15,75,40,15,85,65,-,-,-,20,25,-,15,5,-
2023-06-23 12:34:35.340844,1:31pm on Friday,45,15,45,45,-,30,35,-,-,55,30,60,-,15,30,45,15,15,75,40,15,85,75,-,-,-,20,25,-,15,5,-
2023-06-23 12:40:37.312061,1:40pm on Friday,45,15,45,45,-,30,35,-,-,55,20,60,-,20,30,35,15,15,65,40,15,85,75,-,-,-,20,25,-,25,5,-
2023-06-23 12:49:39.578586,1:49pm on Friday,45,20,45,45,-,30,15,-,-,55,20,60,-,20,30,35,15,15,65,40,15,95,75,-,-,-,20,30,-,45,5,-
2023-06-23 12:58:42.584189,1:55pm on Friday,25,20,45,45,-,30,15,-,-,Down,35,60,-,20,30,35,15,15,80,40,15,95,75,-,-,-,20,20,-,45,5,-
2023-06-23 13:04:44.332327,2:04pm on Friday,25,25,45,45,-,30,15,-,-,55,40,60,-,20,30,35,15,15,80,40,15,100,75,-,-,-,25,20,-,45,5,-
2023-06-24 09:09:39.546552,10:03am on Saturday,25,5,25,15,-,5,5,-,-,Down,5,45,-,5,5,Down,15,-,50,15,5,50,30,-,-,-,15,5,-,5,5,-
2023-06-24 09:12:40.442768,10:11am on Saturday,25,5,25,30,-,5,5,-,-,Down,5,45,-,5,15,Down,15,-,50,15,5,60,30,-,-,-,15,5,-,5,5,-
2023-06-24 09:21:43.831123,10:20am on Saturday,25,5,25,15,-,5,5,-,-,30,5,45,-,5,15,Down,15,-,50,30,5,70,30,-,-,-,15,5,-,5,5,-
